id,split,source,intent,question,answer,entities,product_skus,tags
1,train,faq,sizing_helmet,How do I choose the right riding helmet size?,"Measure the circumference of your head just above the eyebrows, then compare to our size chart. The helmet should feel snug without pressure points and not move when you shake your head.","{""category"": ""helmet"", ""measure"": ""head_circumference_cm""}","HELM-VENT,HELM-MIPS",sizing;fit;helmet
2,train,faq,sizing_boots,What size tall boots should I get?,"Measure calf at the widest point and height from floor to back of knee while seated. Use both calf and height to select a size; if between sizes, choose the smaller calf size for a snug fit.","{""category"": ""boots"", ""measure"": [""calf_circumference_cm"", ""height_cm""]}","BOOT-TALL,BOOT-PADDOCK",sizing;fit;boots
3,train,faq,sizing_breeches,Do breeches run true to size?,"Most brands run true to waist size in inches; for a compressive feel, size down one. Check product page for brand-specific notes.","{""category"": ""breeches""}",BRCH-GRIP,sizing;apparel
4,train,faq,fit_saddle,How do I know if a saddle fits my horse?,"Check that the gullet clears the withers by 2–3 fingers, panels make even contact, and the saddle stays balanced without bridging. A qualified saddle fitter is recommended.","{""category"": ""saddle"", ""animal"": ""horse""}","SAD-CLASSIC-17,SAD-DRESSAGE-175",saddle;fit
5,train,faq,bit_size,What bit size should I choose for my horse?,"Measure the existing bit from ring to ring in millimeters. Average cob is ~125 mm, full ~135 mm, but confirm with a bit sizer for accuracy.","{""category"": ""bit"", ""animal"": ""horse""}","BIT-LOOSE,BIT-D",sizing;bit
6,train,faq,care_leather,How should I care for leather tack?,"Wipe down after each ride, deep clean weekly with glycerin soap, and condition monthly. Avoid direct heat and store in a cool, dry place.","{""category"": ""leather_tack""}","COND-LEATH,SOAP-GLYC",care;leather
7,train,faq,wash_breeches,Can I machine-wash breeches?,"Yes—turn inside out, cold wash, mild detergent, no fabric softener, and line dry to preserve silicone grip.","{""category"": ""breeches""}",BRCH-GRIP,care;laundry
8,train,faq,helmet_lifespan,How long does a riding helmet last?,"Replace every 5 years or immediately after any impact, even if there’s no visible damage.","{""category"": ""helmet""}","HELM-VENT,HELM-MIPS",safety;helmet
9,train,faq,blanket_care,How do I clean turnout blankets?,"Brush off mud, close straps, use a blanket-safe detergent on a gentle cycle, and reproof waterproofing annually.","{""category"": ""blanket""}","BLKT-200,BLKT-100",care;blanket
10,train,faq,helmet_cert,Are your helmets ASTM/SEI certified?,"Yes, all riding helmets we sell meet current ASTM F1163 with SEI certification. Check each product page for certification details.","{""category"": ""helmet"", ""standard"": [""ASTM F1163"", ""SEI""]}",HELM-MIPS,safety;certification
11,train,faq,safety_vest,How do I choose a safety vest level?,Level 3 (BETA 2018) offers the highest impact protection for general riding and eventing; ensure a snug fit and proper coverage.,"{""category"": ""body_protector"", ""standard"": ""BETA 2018""}",VEST-L3,safety;protective
12,train,faq,shipping_time,How long does shipping take?,Standard shipping takes 3–5 business days; expedited options are available at checkout.,"{""topic"": ""shipping""}",,policy;shipping
13,train,faq,shipping_intl,Do you ship internationally?,"Yes, we ship to most countries. Duties and taxes are calculated at checkout or charged by local customs.","{""topic"": ""shipping"", ""scope"": ""international""}",,policy;shipping
