ProductID,Name,Description,Price,StockQuantity,Category,ImageURL,CategoryID
4,Coat,Coat,79.00,176,Clothing,/ProductImages/3cb218a5-345f-4c5d-85ee-c649ba8e9e00.jpg,2
5,Coffee Mug,Ceramic mug with premium print,9.99,139,Home,/ProductImages/ddc6afc1-dabc-45a1-92e0-003177b5bd7c.jpg,4
1002,Saddle1,handmade sandle from Kazakhstan,499.00,33,saddle,/ProductImages/saddle1.jpg,5
1004,Whip,hand made from Kazakhstan,49.00,131,whip,/ProductImages/whip2.jpg,6
1005,Whip2,handmade from Kazakhstan,49.00,0,whip,/ProductImages/whip3.jpg,6
1006,Saddle,handmade from kazakhstan,289.00,3,saddle,/ProductImages/saddle2.jpg,5
1010,boot,just boots,79.00,94,Clothing,/ProductImages/3ac1f169-cafe-4c02-a78d-89799c84a901.jpg,2
1018,book,Classic literature collection,56.00,45,Books,/ProductImages/ce4729d6-25c0-4abd-ad29-8bfc70ea6ab5.jpg,7
1019,boot,Premium leather hiking boots,199.00,67,Clothing,/ProductImages/04889e93-7a59-40f8-80b8-7797e0358203.jpg,2
1020,saddle,Traditional Kazakh horse saddle with ornate design,456.00,12,saddle,/ProductImages/bd57d087-74e5-4102-b2e8-ec53e2cd7e45.jpg,5
2001,Winter Jacket,Insulated winter jacket with waterproof exterior,129.99,85,Clothing,/ProductImages/winter-jacket-001.jpg,2
2002,Sweater,Merino wool pullover sweater in multiple colors,89.99,120,Clothing,/ProductImages/sweater-wool-001.jpg,2
2003,Jeans,Classic fit denim jeans with stretch comfort,69.99,200,Clothing,/ProductImages/jeans-classic-001.jpg,2
2004,T-Shirt,Premium cotton t-shirt with modern fit,24.99,350,Clothing,/ProductImages/tshirt-cotton-001.jpg,2
2005,Dress Shirt,Formal cotton dress shirt for professional wear,49.99,150,Clothing,/ProductImages/dress-shirt-001.jpg,2
2006,Sneakers,Comfortable athletic sneakers for daily wear,79.99,180,Clothing,/ProductImages/sneakers-athletic-001.jpg,2
2007,Dress Shoes,Genuine leather formal dress shoes,149.99,95,Clothing,/ProductImages/dress-shoes-001.jpg,2
2008,Hat,Wool fedora hat with classic styling,39.99,75,Clothing,/ProductImages/hat-fedora-001.jpg,2
3001,Tea Set,Porcelain tea set with 6 cups and saucers,79.99,45,Home,/ProductImages/tea-set-porcelain-001.jpg,4
3002,Throw Pillow,Decorative throw pillow with geometric pattern,29.99,200,Home,/ProductImages/throw-pillow-001.jpg,4
3003,Table Lamp,Modern LED table lamp with adjustable brightness,89.99,85,Home,/ProductImages/table-lamp-001.jpg,4
3004,Wall Art,Framed abstract canvas print for modern homes,149.99,60,Home,/ProductImages/wall-art-abstract-001.jpg,4
3005,Candles,Scented soy candles in glass containers - set of 3,34.99,120,Home,/ProductImages/candles-soy-001.jpg,4
3006,Blanket,Soft fleece throw blanket for couch,49.99,95,Home,/ProductImages/blanket-fleece-001.jpg,4
3007,Kitchen Scale,Digital kitchen scale with precision measurements,39.99,75,Home,/ProductImages/kitchen-scale-001.jpg,4
